-0.723,1.413,0.578
-0.673,1.413,0.578
-0.673,1.413,0.528
-0.623,1.413,0.528
-0.623,1.413,0.478
-0.623,1.463,0.478
-0.573,1.463,0.428
-0.523,1.463,0.428
-0.523,1.463,0.378
-0.523,1.463,0.328
-0.473,1.463,0.328
-0.473,1.463,0.278
-0.423,1.463,0.228
-0.423,1.463,0.178
-0.423,1.463,0.128
-0.423,1.463,0.078
-0.423,1.463,0.028
-0.423,1.463,-0.022
-0.423,1.463,-0.072
-0.423,1.463,-0.122
-0.473,1.463,-0.122
-0.473,1.463,-0.172
-0.473,1.463,-0.222
-0.523,1.463,-0.222
-0.523,1.463,-0.272
-0.523,1.463,-0.322
-0.573,1.463,-0.322
-0.573,1.463,-0.372
-0.573,1.513,-0.322
-0.573,1.513,-0.272
-0.573,1.563,-0.272
-0.523,1.563,-0.272
-0.523,1.563,-0.222
-0.523,1.613,-0.222
-0.523,1.613,-0.172
-0.523,1.613,-0.122
-0.523,1.663,-0.072
-0.473,1.663,-0.072
-0.473,1.663,-0.022
-0.523,1.663,0.028
-0.523,1.663,0.078
-0.523,1.663,0.128
-0.523,1.663,0.178
-0.523,1.663,0.228
-0.523,1.663,0.278
-0.523,1.663,0.328
-0.573,1.663,0.328
-0.573,1.663,0.378
-0.573,1.663,0.428
-0.623,1.613,0.428
-0.623,1.613,0.478
-0.673,1.613,0.478
-0.673,1.613,0.528
-0.723,1.563,0.528
-0.723,1.563,0.578
-0.723,1.613,0.528
-0.723,1.663,0.478
-0.673,1.663,0.428
-0.673,1.713,0.428
-0.673,1.713,0.378
-0.623,1.763,0.378
-0.623,1.763,0.328
-0.623,1.763,0.278
-0.623,1.813,0.278
-0.573,1.813,0.228
-0.573,1.813,0.178
-0.573,1.813,0.128
-0.573,1.813,0.078
-0.573,1.813,0.028
-0.573,1.813,-0.022
-0.573,1.813,-0.072
-0.573,1.813,-0.122
-0.573,1.763,-0.122
-0.623,1.763,-0.172
-0.623,1.763,-0.222
-0.623,1.763,-0.272
-0.623,1.713,-0.272
-0.623,1.713,-0.322
-0.623,1.663,-0.372
-0.623,1.663,-0.322
-0.573,1.713,-0.272
-0.573,1.713,-0.222
-0.573,1.713,-0.172
-0.573,1.713,-0.122
-0.523,1.713,-0.122
-0.523,1.713,-0.072
-0.523,1.713,-0.022
-0.523,1.713,0.028
-0.523,1.713,0.078
-0.523,1.713,0.128
-0.523,1.613,0.278
-0.523,1.613,0.328
-0.573,1.613,0.328
-0.573,1.563,0.378
-0.573,1.563,0.428
-0.623,1.563,0.428
-0.623,1.513,0.428
-0.623,1.513,0.478
-0.673,1.513,0.478
-0.723,1.463,0.528
-0.723,1.513,0.528
-0.723,1.613,0.478
-0.723,1.713,0.478
-0.723,1.763,0.428
-0.723,1.813,0.428
-0.723,1.813,0.378
-0.723,1.863,0.378
-0.723,1.913,0.378
-0.723,1.913,0.328
-0.723,1.963,0.328
-0.723,2.013,0.028
-0.723,2.013,-0.022
-0.723,2.013,-0.072
-0.723,1.913,-0.172
-0.723,1.913,-0.122
-0.673,1.913,-0.122
-0.673,1.863,-0.122
-0.673,1.863,-0.072
-0.623,1.863,-0.022
-0.623,1.863,0.028
-0.623,1.813,0.028
-0.623,1.813,0.078
-0.623,1.813,0.128
-0.623,1.763,0.128
-0.573,1.763,0.128
-0.573,1.763,0.178
-0.573,1.713,0.228
-0.573,1.713,0.278
-0.573,1.663,0.278
-0.573,1.613,0.378
-0.623,1.613,0.378
-0.673,1.463,0.528
-0.723,1.413,0.528
-0.723,1.463,0.478
-0.723,1.513,0.478
-0.673,1.513,0.428
-0.673,1.563,0.428
-0.623,1.563,0.378
-0.623,1.563,0.328
-0.623,1.613,0.328
-0.573,1.613,0.278
-0.573,1.613,0.228
-0.573,1.663,0.228
-0.573,1.663,0.178
-0.573,1.663,0.128
-0.573,1.713,0.078
-0.573,1.713,0.028
-0.573,1.713,-0.022
-0.573,1.713,-0.072
-0.573,1.763,-0.172
-0.673,1.763,-0.272
-0.673,1.763,-0.322
-0.723,1.763,-0.372
-0.723,1.563,-0.472
-0.723,1.563,-0.422
-0.673,1.563,-0.422
-0.673,1.563,-0.372
-0.623,1.563,-0.372
-0.623,1.563,-0.322
-0.573,1.563,-0.222
-0.573,1.563,-0.172
-0.523,1.513,-0.122
-0.523,1.513,-0.072
-0.523,1.513,-0.022
-0.523,1.513,0.028
-0.523,1.513,0.078
-0.523,1.463,0.078
-0.523,1.463,0.128
-0.523,1.463,0.178
-0.523,1.413,0.228
-0.523,1.413,0.278
-0.573,1.413,0.278
-0.573,1.363,0.328
-0.573,1.363,0.378
-0.623,1.363,0.378
-0.623,1.313,0.378
-0.623,1.313,0.428
-0.673,1.313,0.428
-0.673,1.313,0.478
-0.673,1.263,0.478
-0.723,1.263,0.478
-0.723,1.213,0.378
-0.673,1.213,0.328
-0.673,1.213,0.278
-0.623,1.213,0.278
-0.623,1.213,0.228
-0.623,1.263,0.228
-0.623,1.263,0.178
-0.573,1.263,0.128
-0.573,1.263,0.078
-0.573,1.263,0.028
-0.573,1.263,-0.022
-0.573,1.263,-0.072
-0.573,1.263,-0.122
-0.573,1.263,-0.172
-0.623,1.263,-0.222
-0.623,1.313,-0.222
-0.623,1.313,-0.272
-0.673,1.313,-0.322
-0.673,1.313,-0.372
-0.723,1.313,-0.372
-0.723,1.313,-0.422
-0.723,1.363,-0.372
-0.673,1.313,-0.272
-0.623,1.263,-0.172
-0.573,1.213,-0.072
-0.573,1.213,-0.022
-0.523,1.213,0.028
-0.523,1.213,0.078
-0.523,1.163,0.078
-0.523,1.163,0.128
-0.573,1.163,0.128
-0.573,1.163,0.178
-0.573,1.113,0.228
-0.573,1.113,0.278
-0.573,1.113,0.328
-0.623,1.063,0.328
-0.623,1.063,0.378
-0.673,1.063,0.428
-0.673,1.013,0.428
-0.723,0.963,0.378
-0.723,0.913,0.378
-0.723,0.913,0.328
-0.723,0.913,0.278
-0.723,0.913,0.228
-0.723,0.863,0.228
-0.723,0.863,0.178
-0.723,0.863,0.128
-0.723,0.863,0.078
-0.723,0.863,0.028
-0.723,0.813,0.028
-0.723,0.813,-0.022
-0.723,0.813,-0.072
-0.723,0.813,-0.172
-0.723,0.813,-0.122
-0.673,0.813,-0.022
-0.673,0.863,-0.022
-0.673,0.863,0.028
-0.673,0.863,0.078
-0.673,0.863,0.128
-0.673,0.863,0.178
-0.673,0.863,0.228
-0.723,0.863,0.278
-0.723,0.863,0.328
-0.723,1.163,0.628
-0.723,1.213,0.628
-0.723,1.263,0.628
-0.723,1.313,0.628
-0.723,1.363,0.628
-0.723,1.413,0.628
-0.673,1.463,0.628
-0.673,1.513,0.628
-0.673,1.563,0.628
-0.673,1.613,0.628
-0.673,1.663,0.578
-0.673,1.713,0.578
-0.673,1.763,0.578
-0.723,1.763,0.578
-0.723,1.813,0.578
-0.723,1.813,0.528
-0.673,1.813,0.528
-0.673,1.763,0.528
-0.623,1.663,0.578
-0.623,1.613,0.578
-0.623,1.563,0.578
-0.623,1.513,0.578
-0.623,1.463,0.578
-0.623,1.413,0.578
-0.623,1.363,0.578
-0.623,1.313,0.528
-0.623,1.263,0.528
-0.623,1.213,0.528
-0.623,1.163,0.528
-0.623,1.113,0.528
